,descriptors
0,almond
1,anise
2,apple
3,apple_blossom
4,apple_pie
5,apple_sauce
6,apricot
7,asparagus
8,bacon
9,baked_apple
10,baked_bread
11,balsamic
12,banana
13,barbecue
14,basil
15,beef
16,beefy
17,beetroot
18,berry
19,bitter
20,bittersweet
21,black_cherry
22,black_cherry
23,black_currant
24,black_fruit
25,black_pepper
26,blackberry_jam
27,black_tea
28,blackberry-cassis
29,blackcurrant
30,blood_orange
31,blossom
32,blueberry
33,blueberry_pie
34,bramble
35,bread
36,brown_spice
37,cake
38,caramel
39,cashew
40,cassis
41,cataloupe
42,celery
43,chamomile
44,cherry
45,cherry_pie
46,chocolate
47,cider
48,cinnamon
49,citrus
50,citrus_acid
51,citrus_peel
52,clove
53,clove_cinnamon
54,cocoa
55,coconut
56,coffee
57,cola
58,cookie
59,cotton_candy
60,cranberry
61,cranberry_pomegranate
62,cucumber
63,currant
64,dark_berry
65,dark_chocolate
66,elderflower
67,fruit
68,ginger
69,grapefruit
70,grapefruit_peel
71,grapey
72,hazelnut
73,herb
74,hibiscus
75,honeydew
76,huckleberry
77,jalapeno
78,jam
79,jasmine
80,kiwi
81,lemon
82,lemon_blossom
83,lemon_meringue
84,lemon_peel
85,lemongrass
86,lime
87,lime_peel
88,lychee
89,mandarin
90,mango
91,marmalade
92,meditteranean_herbs
93,melon
94,menthol
95,mint
96,mulberry
97,mushroom
98,mustard
99,nectar
100,nectarine
101,nut
102,nutmeg
103,oak
104,olive
105,orange
106,orange_blossom
107,orange_marmalade
108,orange_peel
109,oregano
110,papaya
111,passion_fruit
112,pea
113,peach
114,peanut
115,pear
116,pepper
117,pie
118,pine
119,pineapple
120,plum
121,pomegranate
122,popcorn
123,prune
124,raisin
125,raspberry
126,red_berry
127,red_currant
128,red_fruit
129,rhubarb
130,rose
131,rosemary
132,rosewater
133,sage
134,smoke
135,sparkling
136,spearmint
137,spice
138,stone_fruit
139,strawberry
140,sweet
141,tangerine
142,tangerine_peel
143,tea
144,thyme
145,toast
146,toasted_almond
147,toasted_coconut
148,toasted_hazelnut
149,toasted_nut
150,tomato
151,tropical_fruit
152,vanilla
153,velvety
154,violet
155,walnut
156,watermelon
157,wood
